season_id,season_name,team_url,team_id,team_name,manager_url,manager_id,manager_name
GB1-2025,25/26,/fc-arsenal/startseite/verein/11/saison_id/2025,11,Arsenal FC,/mikel-arteta/profil/trainer/47620,47620,Mikel Arteta
GB1-2024,24/25,/fc-liverpool/startseite/verein/31/saison_id/2024,31,Liverpool FC,/arne-slot/profil/trainer/34822,34822,Arne Slot
GB1-2023,23/24,/manchester-city/startseite/verein/281/saison_id/2023,281,Manchester City,/pep-guardiola/profil/trainer/5672,5672,Pep Guardiola
GB1-2022,22/23,/manchester-city/startseite/verein/281/saison_id/2022,281,Manchester City,/pep-guardiola/profil/trainer/5672,5672,Pep Guardiola
GB1-2021,21/22,/manchester-city/startseite/verein/281/saison_id/2021,281,Manchester City,/pep-guardiola/profil/trainer/5672,5672,Pep Guardiola
GB1-2020,20/21,/manchester-city/startseite/verein/281/saison_id/2020,281,Manchester City,/pep-guardiola/profil/trainer/5672,5672,Pep Guardiola
GB1-2019,19/20,/fc-liverpool/startseite/verein/31/saison_id/2019,31,Liverpool FC,/jurgen-klopp/profil/trainer/118,118,Jürgen Klopp
GB1-2018,18/19,/manchester-city/startseite/verein/281/saison_id/2018,281,Manchester City,/pep-guardiola/profil/trainer/5672,5672,Pep Guardiola
GB1-2017,17/18,/manchester-city/startseite/verein/281/saison_id/2017,281,Manchester City,/pep-guardiola/profil/trainer/5672,5672,Pep Guardiola
GB1-2016,16/17,/fc-chelsea/startseite/verein/631/saison_id/2016,631,Chelsea FC,/antonio-conte/profil/trainer/3517,3517,Antonio Conte
GB1-2015,15/16,/leicester-city/startseite/verein/1003/saison_id/2015,1003,Leicester City,/claudio-ranieri/profil/trainer/456,456,Claudio Ranieri
GB1-2014,14/15,/fc-chelsea/startseite/verein/631/saison_id/2014,631,Chelsea FC,/jose-mourinho/profil/trainer/781,781,José Mourinho
GB1-2013,13/14,/manchester-city/startseite/verein/281/saison_id/2013,281,Manchester City,/manuel-pellegrini/profil/trainer/1558,1558,Manuel Pellegrini
GB1-2012,12/13,/manchester-united/startseite/verein/985/saison_id/2012,985,Manchester United,/alex-ferguson/profil/trainer/4,4,Alex Ferguson
GB1-2011,11/12,/manchester-city/startseite/verein/281/saison_id/2011,281,Manchester City,/roberto-mancini/profil/trainer/524,524,Roberto Mancini
GB1-2010,10/11,/manchester-united/startseite/verein/985/saison_id/2010,985,Manchester United,/alex-ferguson/profil/trainer/4,4,Alex Ferguson
GB1-2009,09/10,/fc-chelsea/startseite/verein/631/saison_id/2009,631,Chelsea FC,/carlo-ancelotti/profil/trainer/523,523,Carlo Ancelotti
GB1-2008,08/09,/manchester-united/startseite/verein/985/saison_id/2008,985,Manchester United,/alex-ferguson/profil/trainer/4,4,Alex Ferguson
GB1-2007,07/08,/manchester-united/startseite/verein/985/saison_id/2007,985,Manchester United,/alex-ferguson/profil/trainer/4,4,Alex Ferguson
GB1-2006,06/07,/manchester-united/startseite/verein/985/saison_id/2006,985,Manchester United,/alex-ferguson/profil/trainer/4,4,Alex Ferguson
GB1-2005,05/06,/fc-chelsea/startseite/verein/631/saison_id/2005,631,Chelsea FC,/jose-mourinho/profil/trainer/781,781,José Mourinho
GB1-2004,04/05,/fc-chelsea/startseite/verein/631/saison_id/2004,631,Chelsea FC,/jose-mourinho/profil/trainer/781,781,José Mourinho
GB1-2003,03/04,/fc-arsenal/startseite/verein/11/saison_id/2003,11,Arsenal FC,/arsene-wenger/profil/trainer/280,280,Arsène Wenger
GB1-2002,02/03,/manchester-united/startseite/verein/985/saison_id/2002,985,Manchester United,/alex-ferguson/profil/trainer/4,4,Alex Ferguson
GB1-2001,01/02,/fc-arsenal/startseite/verein/11/saison_id/2001,11,Arsenal FC,/arsene-wenger/profil/trainer/280,280,Arsène Wenger
GB1-2000,00/01,/manchester-united/startseite/verein/985/saison_id/2000,985,Manchester United,/alex-ferguson/profil/trainer/4,4,Alex Ferguson
GB1-1999,99/00,/manchester-united/startseite/verein/985/saison_id/1999,985,Manchester United,/alex-ferguson/profil/trainer/4,4,Alex Ferguson
GB1-1998,98/99,/manchester-united/startseite/verein/985/saison_id/1998,985,Manchester United,/alex-ferguson/profil/trainer/4,4,Alex Ferguson
GB1-1997,97/98,/fc-arsenal/startseite/verein/11/saison_id/1997,11,Arsenal FC,/arsene-wenger/profil/trainer/280,280,Arsène Wenger
GB1-1996,96/97,/manchester-united/startseite/verein/985/saison_id/1996,985,Manchester United,/alex-ferguson/profil/trainer/4,4,Alex Ferguson
GB1-1995,95/96,/manchester-united/startseite/verein/985/saison_id/1995,985,Manchester United,/alex-ferguson/profil/trainer/4,4,Alex Ferguson
GB1-1994,94/95,/blackburn-rovers/startseite/verein/164/saison_id/1994,164,Blackburn Rovers,/kenny-dalglish/profil/trainer/12320,12320,Kenny Dalglish
GB1-1993,93/94,/manchester-united/startseite/verein/985/saison_id/1993,985,Manchester United,/alex-ferguson/profil/trainer/4,4,Alex Ferguson
GB1-1992,92/93,/manchester-united/startseite/verein/985/saison_id/1992,985,Manchester United,/alex-ferguson/profil/trainer/4,4,Alex Ferguson
